"year","port","name","value","state","indian","fishery","metric","species","units","latitude","longitude"
"1981","Crescent City","Apr",0,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1981","Crescent City","May",7,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1981","Crescent City","June",589,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1981","Crescent City","July",1178,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1981","Crescent City","Aug",2233,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1981","Crescent City","Sept",0,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1981","Crescent City","Oct",0,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1981","Crescent City","Nov",0,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1981","Crescent City","Season",4007,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1982","Crescent City","Feb",NA,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1982","Crescent City","Mar",NA,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1982","Crescent City","Apr",0,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1982","Crescent City","May",4,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1982","Crescent City","June",614,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1982","Crescent City","July",2258,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1982","Crescent City","Aug",3181,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1982","Crescent City","Sept",139,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1982","Crescent City","Oct",0,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1982","Crescent City","Nov",0,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1982","Crescent City","Season",6196,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1983","Crescent City","Feb",NA,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1983","Crescent City","Mar",NA,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1983","Crescent City","Apr",0,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1983","Crescent City","May",0,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1983","Crescent City","June",1338,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1983","Crescent City","July",1400,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1983","Crescent City","Aug",633,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1983","Crescent City","Sept",74,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1983","Crescent City","Oct",0,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1983","Crescent City","Nov",0,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1983","Crescent City","Season",3445,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1984","Crescent City","Feb",NA,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1984","Crescent City","Mar",NA,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1984","Crescent City","Apr",0,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1984","Crescent City","May",11,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1984","Crescent City","June",33,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1984","Crescent City","July",1841,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1984","Crescent City","Aug",1617,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1984","Crescent City","Sept",21,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1984","Crescent City","Oct",0,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1984","Crescent City","Nov",0,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1984","Crescent City","Season",3523,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1985","Crescent City","Feb",NA,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1985","Crescent City","Mar",NA,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1985","Crescent City","Apr",0,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1985","Crescent City","May",2462,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1985","Crescent City","June",4619,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1985","Crescent City","July",8857,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1985","Crescent City","Aug",1961,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1985","Crescent City","Sept",90,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1985","Crescent City","Oct",0,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1985","Crescent City","Nov",0,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1985","Crescent City","Season",17989,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1986","Crescent City","Feb",NA,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1986","Crescent City","Mar",NA,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1986","Crescent City","Apr",NA,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1986","Crescent City","May",270,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1986","Crescent City","June",1555,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1986","Crescent City","July",2624,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1986","Crescent City","Aug",1296,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1986","Crescent City","Sept",15,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1986","Crescent City","Oct",NA,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1986","Crescent City","Nov",NA,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1986","Crescent City","Season",5760,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1987","Crescent City","Feb",NA,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1987","Crescent City","Mar",NA,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1987","Crescent City","Apr",NA,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1987","Crescent City","May",259,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1987","Crescent City","June",3745,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1987","Crescent City","July",4294,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1987","Crescent City","Aug",2286,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1987","Crescent City","Sept",1476,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1987","Crescent City","Oct",NA,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1987","Crescent City","Nov",NA,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1987","Crescent City","Season",12060,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1988","Crescent City","Feb",NA,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1988","Crescent City","Mar",NA,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1988","Crescent City","Apr",NA,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1988","Crescent City","May",1006,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1988","Crescent City","June",7418,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1988","Crescent City","July",7560,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1988","Crescent City","Aug",1241,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1988","Crescent City","Sept",11,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1988","Crescent City","Oct",NA,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1988","Crescent City","Nov",NA,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1988","Crescent City","Season",17236,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1989","Crescent City","Feb",NA,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1989","Crescent City","Mar",NA,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1989","Crescent City","Apr",NA,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1989","Crescent City","May",417,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1989","Crescent City","June",3589,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1989","Crescent City","July",17990,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1989","Crescent City","Aug",3227,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1989","Crescent City","Sept",52,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1989","Crescent City","Oct",NA,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1989","Crescent City","Nov",NA,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1989","Crescent City","Season",25275,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1990","Crescent City","Feb",NA,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1990","Crescent City","Mar",NA,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1990","Crescent City","Apr",NA,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1990","Crescent City","May",118,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1990","Crescent City","June",6451,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1990","Crescent City","July",5975,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1990","Crescent City","Aug",151,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1990","Crescent City","Sept",22,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1990","Crescent City","Oct",NA,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1990","Crescent City","Nov",NA,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1990","Crescent City","Season",12717,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1991","Crescent City","Feb",NA,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1991","Crescent City","Mar",NA,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1991","Crescent City","Apr",NA,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1991","Crescent City","May",7,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1991","Crescent City","June",1321,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1991","Crescent City","July",1943,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1991","Crescent City","Aug",35,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1991","Crescent City","Sept",61,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1991","Crescent City","Oct",NA,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1991","Crescent City","Nov",NA,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1991","Crescent City","Season",3367,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1992","Crescent City","Feb",NA,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1992","Crescent City","Mar",NA,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1992","Crescent City","Apr",NA,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1992","Crescent City","May",NA,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1992","Crescent City","June",NA,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1992","Crescent City","July",842,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1992","Crescent City","Aug",NA,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1992","Crescent City","Sept",47,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1992","Crescent City","Oct",NA,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1992","Crescent City","Nov",NA,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1992","Crescent City","Season",889,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1993","Crescent City","Feb",NA,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
"1993","Crescent City","Mar",NA,"CA","","recreational","catch","Chinook","numbers",41.7558,-124.2026
